RT,SERIALNO,PUMA,HHL,HHT
H,11509,5800,1.0,3.0
H,11514,4605,1.0,1.0
H,11536,5202,1.0,4.0
H,11541,1700,1.0,1.0
H,11570,2513,2.0,3.0
H,11580,3802,4.0,1.0
H,11581,3303,2.0,6.0
H,11583,2505,,
H,11609,2505,1.0,1.0
H,11647,2313,1.0,6.0
H,11648,1501,2.0,1.0
H,11655,2311,1.0,6.0
H,11663,6703,1.0,4.0
H,11695,3305,1.0,1.0
H,11709,2002,,
H,11750,2006,2.0,3.0
H,11762,2303,1.0,3.0
H,11781,1300,2.0,2.0
H,11809,4701,,
H,11846,4702,2.0,1.0
H,11867,2600,,
H,11869,5905,2.0,1.0
H,11878,4620,2.0,1.0
H,11886,2311,1.0,7.0
H,11893,5306,1.0,6.0
H,11895,3306,,
H,11904,4620,1.0,1.0
H,11907,3305,1.0,3.0
H,11920,4604,,
H,11927,3802,1.0,6.0
